USERID,ACTIVE,CREATEDATE,LASTLOGIN,ROLE,SOURCE,STATE
5ff1e194b6a9d73a3a9f1052,TRUE,2021-01-03 10:24:04,2021-01-03 10:25:37,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,TRUE,2021-01-03 10:24:04,2021-01-03 10:25:37,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,TRUE,2021-01-03 10:24:04,2021-01-03 10:25:37,consumer,Email,WI
5ff1e1eacfcf6c399c274ae6,TRUE,2021-01-03 10:25:30,2021-01-03 10:25:30,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,TRUE,2021-01-03 10:24:04,2021-01-03 10:25:37,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,TRUE,2021-01-03 10:24:04,2021-01-03 10:25:37,consumer,Email,WI
5ff1e1e8cfcf6c399c274ad9,TRUE,2021-01-03 10:25:28,2021-01-03 10:25:28,consumer,Email,WI
5ff1e1b7cfcf6c399c274a5a,TRUE,2021-01-03 10:24:39,2021-01-03 10:24:39,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,TRUE,2021-01-03 10:24:04,2021-01-03 10:25:37,consumer,Email,WI
5ff1e1f1cfcf6c399c274b0b,TRUE,2021-01-03 10:25:37,2021-01-03 10:25:37,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,TRUE,2021-01-03 10:24:04,2021-01-03 10:25:37,consumer,Email,WI
5ff1e1eacfcf6c399c274ae6,TRUE,2021-01-03 10:25:30,2021-01-03 10:25:30,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,TRUE,2021-01-03 10:24:04,2021-01-03 10:25:37,consumer,Email,WI
5ff1e1eacfcf6c399c274ae6,TRUE,2021-01-03 10:25:30,2021-01-03 10:25:30,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,TRUE,2021-01-03 10:24:04,2021-01-03 10:25:37,consumer,Email,WI
5ff1e194b6a9d73a3a9f1052,TRUE,2021-01-03 10:24:04,2021-01-03 10:25:37,consumer,Email,WI
5ff1e1e4cfcf6c399c274ac3,TRUE,2021-01-03 10:25:24,2021-01-03 10:25:24,consumer,Email,WI
